AutoID	OwnerID	VIN	Make	Model	Year	DriveTrain	EngineType	ExteriorColor	InteriorColor	Transmission
34	34	ZVTOCRLBYKEB1Y5L9	Contoso Motors	Minivan	2015	FWD	6 Cylinder	White Silver	Smoke White	Automatic
35	565	RXB14GHQFO3PUYKNS	Contoso Motors	Sedan	2005	AWD	6 Cylinder	Racing Green	Beige	Manual
36	386	0125DITL7HX8TYA6T	Contoso Motors	Wagon	2016	FWD	6 Cylinder	Deep Blue	White	Automatic
37	770	5199WY00VHB6G0WDW	Contoso Motors	Sedan	2016	FWD	6 Cylinder	Blue	Old Lace	Manual
38	830	HOVSW338LVHWN2KVR	Contoso Motors	Sedan	2007	FWD	6 Cylinder	Blue	Old Lace	Manual
39	22	BPMFLFF6LNYIOMAVX	Contoso Motors	SUV	2005	FWD	Electric	Blazing Gray	Black	Automatic
40	642	LTZFCUSVPFQ4W7Z4J	Contoso Motors	Truck	2007	FWD	10 Cylinder	Black	Black	Automatic
41	761	6R0Q5GZP90RLBIZSF	Contoso Motors	Truck	2004	AWD	10 Cylinder	Black	Black	Automatic
42	530	8UW5Z294E0NJMJPLJ	Contoso Motors	Wagon	2015	FWD	6 Cylinder	Deep Blue	White	Automatic
43	770	2MVDG47OQ3G5I49FK	Contoso Motors	Wagon	2013	FWD	6 Cylinder	Deep Blue	White	Automatic
44	44	60G4SUPG5KNFU3ZYS	Contoso Motors	Minivan	2016	FWD	6 Cylinder	Deep Blue	Brown	Automatic
45	45	0IBN9W4FLJTNDM6G4	Contoso Motors	Minivan	2011	FWD	6 Cylinder	Midnight Black	Silverstone	Automatic
46	280	Q0OIIVH166MJM9SRH	Contoso Motors	SUV	2004	AWD	6 Cylinder	Blazing Gray	Black	Automatic
47	394	1YMDHCCKY6126ZU1K	Contoso Motors	Wagon	2009	FWD	6 Cylinder	Deep Blue	White	Automatic
48	881	9RPS1HJG9D1LBEQQH	Contoso Motors	Truck	2011	FWD	10 Cylinder	Black	Black	Automatic
49	328	0PLKJAYEVRA6NRU0J	Contoso Motors	SUV	2011	AWD	4 Cylinder	Blazing Gray	Black	Automatic
50	950	5PDU8WYEFFGO40HHC	Contoso Motors	Sedan	2007	FWD	6 Cylinder	White Silver	Smoke White	Manual
51	139	962GBB2WZOZXU7OMG	Contoso Motors	Hatchback	2012	FWD	6 Cylinder	Deep Blue	White	Automatic
52	52	YNU5C8YZYT7DOYXQ8	Contoso Motors	Minivan	2016	FWD	6 Cylinder	Volcanic Orange	White	Automatic
53	398	BTV19HPRPU7RWICET	Contoso Motors	SUV	2016	FWD	Electric	Blazing Gray	Black	Automatic
54	6	MHTP9N792PHK08WJM	Contoso Motors	SUV	2005	AWD	Hybrid	Blue	Black	Automatic
55	502	J9RO51ZXXUSHUT13B	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
56	56	UE6D2HW9H7KUFMFFO	Contoso Motors	Convertible 2DR	2015	AWD	6 Cylinder	Deep Blue	Brown	Automatic
57	267	HKTHWDDMML03RMZPR	Contoso Motors	Coupe	2013	RWD	4 Cylinder	Midnight Black	Silverstone	Manual
58	58	W7ZXWIK8O86SZGH9G	Contoso Motors	Hybrid	2013	FWD	Hybrid	White Silver	Smoke White	Semi-automatic
59	1	9T9VSN0FI93R6HTIT	Contoso Motors	Truck	2014	AWD	10 Cylinder	Black	Black	Automatic
60	147	HHP8M4ES04246X7B6	Contoso Motors	Hatchback	2007	AWD	6 Cylinder	Deep Blue	White	Automatic
61	10	H0BRZNH49CP43HKN1	Contoso Motors	Sedan	2005	FWD	6 Cylinder	White Silver	Smoke White	Manual
62	154	UHK4NJMODN4CJ8N1Q	Contoso Motors	Sedan	2013	FWD	6 Cylinder	Thunder Gray	Gray	Manual
63	214	GTL07WURKAEBZO7KO	Contoso Motors	Sedan	2007	AWD	6 Cylinder	Thunder Gray	Gray	Manual
64	523	92S177DVXRBE1PK45	Contoso Motors	Hatchback	2016	AWD	6 Cylinder	Deep Blue	White	Automatic
65	266	OIERM0565QG99HAN9	Contoso Motors	Truck	2015	AWD	10 Cylinder	Black	Black	Automatic
66	650	7O2VKAE0FELJG5ELK	Contoso Motors	Truck	2016	AWD	10 Cylinder	Black	Black	Automatic
67	651	UXXQX95MAJ1FHJRFA	Contoso Motors	Coupe	2011	AWD	4 Cylinder	Chili Red	Black	Manual
68	68	A3FQXISX6GIN2G6M2	Contoso Motors	Hybrid	2013	FWD	Hybrid	Deep Blue	Brown	Semi-automatic
69	54	3BY5XUUAB7MS5BOUQ	Contoso Motors	SUV	2013	AWD	4 Cylinder	Blue	Black	Automatic
70	535	926ORRXDY9J83POLE	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
71	71	V5UOQH37Z6ZUQEVOA	Contoso Motors	Convertible 2DR	2013	FWD	3 Cylinder	Racing Green	Beige	Automatic
72	534	EMUKPWIQTTZ8XDAKV	Contoso Motors	SUV	2007	AWD	6 Cylinder	Blue	Black	Automatic
73	582	A1LCTSY2WHBDL4RXY	Contoso Motors	SUV	2005	FWD	10 Cylinder	Blue	Black	Automatic
74	74	ZPGYKO3SW7RC58YUZ	Contoso Motors	Minivan	2015	FWD	6 Cylinder	Thunder Gray	Gray	Automatic
75	734	K0GMEOI4V7EHGGAR6	Contoso Motors	SUV	2009	FWD	4 Cylinder	Blue	Black	Automatic
76	76	UOUFX6BWC4G2NU4OA	Contoso Motors	Minivan	2013	FWD	6 Cylinder	Volcanic Orange	White	Automatic
77	782	XF1QTSNCM8M3SKNRX	Contoso Motors	SUV	2016	FWD	Hybrid	Blue	Black	Automatic
78	78	HOE5ERNKHQA06CAL9	Contoso Motors	Minivan	2015	FWD	6 Cylinder	Blue	Old Lace	Automatic
79	79	ST95EH8B8NNG34EE3	Contoso Motors	Minivan	2013	FWD	6 Cylinder	Silver	Ivory	Automatic
80	80	TEE607XTPSEPGIOW0	Contoso Motors	Minivan	2004	FWD	6 Cylinder	Deep Blue	Brown	Automatic
81	81	SNCE1JI16ORA8TZJ6	Contoso Motors	Minivan	2015	FWD	6 Cylinder	Midnight Black	Silverstone	Automatic
82	82	JCGOM1OM7DNYJW6Y9	Contoso Motors	Minivan	2007	FWD	6 Cylinder	White Silver	Smoke White	Automatic
83	334	HW67MDOKG6X824CLF	Contoso Motors	Sedan	2010	FWD	6 Cylinder	Blue	Old Lace	Manual
84	575	HYP1FSUQ6NQUMLBE5	Contoso Motors	Hatchback	2006	FWD	6 Cylinder	Deep Blue	White	Automatic
85	394	6QSTEN3L3M3CZWPKO	Contoso Motors	Sedan	2015	AWD	6 Cylinder	Blue	Old Lace	Manual
86	573	W0RXEHZ32SJB3VDX4	Contoso Motors	Sedan	2014	AWD	6 Cylinder	Midnight Black	Silverstone	Manual
87	992	RY3FMAG69XTBL0KTX	Contoso Motors	SUV	2015	RWD	4 Cylinder	Blue	Black	Automatic
88	889	9QATZSVHST426DAG1	Contoso Motors	Truck	2004	FWD	10 Cylinder	Black	Black	Automatic
89	820	CP6TW23WUH9ZHH8GT	Contoso Motors	Convertible 2DR	2015	RWD	8 Cylinder	Chili Red	Red	Manual
90	822	VXE1D06K67MWOWEJ3	Contoso Motors	Convertible 2DR	2016	RWD	8 Cylinder	Racing Green	Black	Automatic
91	848	GHRJAC7PDRUQ960AF	Contoso Motors	Convertible 2DR	2014	RWD	8 Cylinder	White Silver	Gray	Manual
92	888	449PLM0RCNHZ6YHO5	Contoso Motors	Convertible 2DR	2015	RWD	8 Cylinder	Black	Black	Automatic
93	800	Q7HBIZ6T7172QJP0U	Contoso Motors	Convertible 2DR	2016	RWD	8 Cylinder	Blue	Dark Gray	Manual
94	801	90LR6IH70DMQNV245	Contoso Motors	Convertible 2DR	2016	RWD	8 Cylinder	Volcanic Orange	Black	AUtomatic
95	959	G45XN4SW529YCKBST	Contoso Motors	Hatchback	2013	AWD	6 Cylinder	Deep Blue	White	Automatic
96	129	Z94AOEKMF6Q9K32LQ	Contoso Motors	Truck	2011	FWD	10 Cylinder	Black	Black	Automatic
97	41	4ZV9MBVJL7K1540ZL	Contoso Motors	SUV	2011	AWD	Hybrid	Blue	Black	Automatic
98	693	JB5IZCJJCS4DSPQQM	Contoso Motors	Sedan	2007	FWD	6 Cylinder	Racing Green	Beige	Manual
99	2	6XXVJMY80S4CHSUKW	Contoso Motors	Wagon	2015	FWD	6 Cylinder	Deep Blue	White	Automatic
100	100	6QLISR018O06X8K44	Contoso Motors	Minivan	2015	FWD	6 Cylinder	Blue	Old Lace	Automatic
101	43	L6JHAWNP1IXGNF0SP	Contoso Motors	Crossover	2004	AWD	Hybrid	Blue	Black	Automatic
102	45	YQIIQJAOQW46KX2KS	Contoso Motors	Crossover	2007	AWD	Hybrid	Blue	Black	Automatic
103	598	MYVBR1ANM44W9A8ZN	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
104	104	OXPVYJT8F5CV0QETY	Contoso Motors	Convertible 2DR	2016	FWD	Hybrid	White Silver	Smoke White	Automatic
105	275	FO6IFCLO0J6QWI428	Contoso Motors	Coupe	2016	FWD	4 Cylinder	Silver	Ivory	Manual
106	106	HQ966AF5RI70ST3Y6	Contoso Motors	Hybrid	2013	FWD	Hybrid	Blazing Gray	Nutmeg	Semi-automatic
107	274	X41MAQ673N3V5XWEG	Contoso Motors	Truck	2015	FWD	10 Cylinder	Black	Black	Automatic
108	11	OBY5PK2DEXG66GXJG	Contoso Motors	Hatchback	2007	FWD	6 Cylinder	Deep Blue	White	Automatic
109	958	VHA71CU9U064O5HEE	Contoso Motors	Sedan	2016	FWD	6 Cylinder	Blue	Old Lace	Manual
110	18	84CFOIJACQGPF9ZDL	Contoso Motors	Sedan	2007	FWD	6 Cylinder	Deep Blue	Brown	Manual
111	78	CLARVXUPYK83L0UMN	Contoso Motors	Sedan	2013	AWD	6 Cylinder	White Silver	Smoke White	Manual
112	147	VJ5B73VXKJGZWDG0B	Contoso Motors	Hatchback	2006	FWD	6 Cylinder	Deep Blue	White	Automatic
113	395	N2S4F51PGIFY8KK2Z	Contoso Motors	Truck	2007	FWD	12 Cylinder	Black	Black	Automatic
114	635	XZQSSPJVU0SM7MLWL	Contoso Motors	Truck	2004	AWD	12 Cylinder	Black	Black	Automatic
115	883	XMMHB1HUHLP2FEM3Z	Contoso Motors	Coupe	2006	FWD	4 Cylinder	Electric Blue	Red	Manual
116	116	CBBAZP0M5MBYTXLF3	Contoso Motors	Hybrid	2013	FWD	Hybrid	White Silver	Smoke White	Semi-automatic
117	55	5L2GJRKV27YOM6Z3R	Contoso Motors	SUV	2016	FWD	6 Cylinder	Blue	Black	Automatic
118	631	JVITFBM1K8F6P8O0H	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
119	119	0LYX3XH2KQYH4N1HH	Contoso Motors	Convertible 2DR	2016	FWD	6 Cylinder	Electric Blue	Red	Automatic
120	62	AD91ZJFRBAZDLZEHD	Contoso Motors	SUV	2007	FWD	3 Cylinder	Blue	Black	Automatic
121	65	KCF1B6NPOS4RDK0HR	Contoso Motors	SUV	2004	FWD	Electric	Blue	Black	Automatic
122	122	VVR5QYAX0BY9F80GL	Contoso Motors	Minivan	2015	FWD	6 Cylinder	Volcanic Orange	White	Automatic
123	69	84WCQ14XBWR8VNEY6	Contoso Motors	Crossover	2011	FWD	10 Cylinder	Blue	Black	Automatic
124	124	SV94DVYSPT74V7ROW	Contoso Motors	Minivan	2004	FWD	6 Cylinder	Blue	Old Lace	Automatic
125	70	CM6WVRC0NHBFWEITJ	Contoso Motors	SUV	2005	FWD	12 Cylinder	Blue	Black	Automatic
126	126	141PHXSEFBVZ60Z6U	Contoso Motors	Minivan	2007	FWD	6 Cylinder	Deep Blue	Brown	Automatic
127	127	PRUQC9HEW3JMSEYZL	Contoso Motors	Minivan	2016	FWD	6 Cylinder	Midnight Black	Silverstone	Automatic
128	128	VVL9DCWP2BR82PVZT	Contoso Motors	Minivan	2011	FWD	6 Cylinder	White Silver	Smoke White	Automatic
129	129	12H3A1VTFIBICG08V	Contoso Motors	Minivan	2004	FWD	6 Cylinder	Racing Green	Beige	Automatic
130	130	LW0D9X0CSULXMVFW8	Contoso Motors	Minivan	2005	FWD	6 Cylinder	Blazing Gray	Nutmeg	Automatic
131	342	9PZJ20GGBXZNHUWEJ	Contoso Motors	Sedan	2013	FWD	6 Cylinder	Thunder Gray	Gray	Manual
132	155	DU8GQ0ORH2QR7MYL6	Contoso Motors	Hatchback	2014	FWD	6 Cylinder	Deep Blue	White	Automatic
133	402	0D94JQQVVLFJHGWG3	Contoso Motors	Sedan	2007	AWD	10 Cylinder	Volcanic Orange	White	Manual
134	462	P7178468GYLAA3O81	Contoso Motors	Sedan	2005	RWD	10 Cylinder	Blue	Old Lace	Manual
135	85	HYY0HVD6WBPS62RQL	Contoso Motors	SUV	2011	FWD	8 Cylinder	Blue	Black	Automatic
136	779	YIACHKQLKD47DJ7GZ	Contoso Motors	Truck	2016	AWD	12 Cylinder	Black	Black	Automatic
137	882	T5E2KFO1FDN6M7WCH	Contoso Motors	Truck	2005	FWD	12 Cylinder	Black	Black	Automatic
138	387	P6GN82OKKZUINQJMH	Contoso Motors	Hatchback	2011	FWD	6 Cylinder	Deep Blue	White	Automatic
139	395	IHJIZ2RW4KTMKJNJP	Contoso Motors	Hatchback	2016	AWD	6 Cylinder	Deep Blue	White	Automatic
140	140	TV6LN1B3KPQJEH1TZ	Contoso Motors	Minivan	2016	FWD	6 Cylinder	White Silver	Smoke White	Automatic
141	141	Z20AU24O1TLEW8IJ7	Contoso Motors	Minivan	2011	FWD	6 Cylinder	Racing Green	Beige	Automatic
142	88	RUVB2F10GV9F5KEGZ	Contoso Motors	SUV	2005	FWD	Electric	Blue	Black	Automatic
143	531	01MWFV89QBUM2NDIH	Contoso Motors	Hatchback	2013	FWD	6 Cylinder	Deep Blue	White	Automatic
144	19	CC9O3GNGXD4IYVHZL	Contoso Motors	Truck	2012	FWD	12 Cylinder	Black	Black	Automatic
145	89	RQWE40TVB2JF104UO	Contoso Motors	SUV	2007	FWD	Hybrid	Blue	Black	Automatic
146	207	DB2JXBWBLCL09FJFU	Contoso Motors	Sedan	2016	AWD	12 Cylinder	Silver	Ivory	Manual
147	583	HUSDFMYIX8AUMMBSZ	Contoso Motors	Hatchback	2007	FWD	6 Cylinder	Deep Blue	White	Automatic
148	148	A850GFNHN2T5ZBWLU	Contoso Motors	Minivan	2016	FWD	6 Cylinder	Blue	Old Lace	Automatic
149	91	X87GMLMPI3N3452EH	Contoso Motors	Crossover	2011	FWD	Electric	Blue	Black	Automatic
150	93	KJTMQ3YDP3J4E0AUM	Contoso Motors	Crossover	2005	FWD	6 Cylinder	Blue	Black	Automatic
151	679	FXM5KQA4V1RLWO50C	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
152	152	LI496C6SXJN1DYY8R	Contoso Motors	Convertible 2DR	2013	FWD	Hybrid	White Silver	Smoke White	Automatic
153	891	3KU61YXFMS3SB9VYH	Contoso Motors	Coupe	2007	FWD	4 Cylinder	Racing Green	Beige	Manual
154	154	HO0BS98YQQ93PNGOM	Contoso Motors	Hybrid	2013	FWD	Hybrid	Blazing Gray	Nutmeg	Semi-automatic
155	643	MCSX0IY7P1G69F443	Contoso Motors	Truck	2007	RWD	12 Cylinder	Black	Black	Automatic
156	771	X7MUMNEC7K6AVZTA8	Contoso Motors	Hatchback	2014	FWD	6 Cylinder	Deep Blue	White	Automatic
157	386	0NJ3E4WL55FTM9EJ6	Contoso Motors	Sedan	2015	AWD	12 Cylinder	White Silver	Smoke White	Manual
158	446	G8VIZT4JT1BG4XGEZ	Contoso Motors	Sedan	2005	FWD	12 Cylinder	White Silver	Smoke White	Manual
159	515	9SYGOXZYVTWS1RXQR	Contoso Motors	Sedan	2016	FWD	10 Cylinder	Midnight Black	Silverstone	Manual
160	967	AIMYX6V6VUQQ6NJBO	Contoso Motors	Hatchback	2016	AWD	6 Cylinder	Deep Blue	White	Automatic
161	890	16K43B9EXZJ2XJTPJ	Contoso Motors	Truck	2005	FWD	12 Cylinder	Black	Black	Automatic
162	27	HS8OGPYC88OR70ELE	Contoso Motors	Truck	2006	AWD	12 Cylinder	Black	Black	Automatic
163	131	74J2KIPUKN126DB68	Contoso Motors	Coupe	2004	FWD	4 Cylinder	Pepper White	Dark Gray	Manual
164	164	3MLZGU0B95D1V3MZS	Contoso Motors	Hybrid	2013	FWD	Hybrid	White Silver	Smoke White	Semi-automatic
165	103	N81KF5CPUBAPCNID8	Contoso Motors	SUV	2013	FWD	Hybrid	Blue	Black	Automatic
166	694	5YHTI7I7HUGG0QAU7	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
167	167	FBQ93S6GERDWDGI3B	Contoso Motors	Convertible 2DR	2013	AWD	Hybrid	Electric Blue	Red	Automatic
168	110	JLUW83P79X3MWNGQ3	Contoso Motors	SUV	2005	FWD	4 Cylinder	Blue	Black	Automatic
169	113	QJ30CU7JAYM60OIG4	Contoso Motors	SUV	2011	RWD	4 Cylinder	Blue	Black	Automatic
170	170	BTQDYNLSULF1I6XSY	Contoso Motors	Minivan	2011	FWD	6 Cylinder	Volcanic Orange	White	Automatic
171	117	5DD9KEOGLLIQ68U1V	Contoso Motors	Crossover	2004	AWD	6 Cylinder	Blue	Black	Automatic
172	172	VXPIIX3G3WFJQQGJP	Contoso Motors	Minivan	2011	FWD	6 Cylinder	Blue	Old Lace	Automatic
173	158	FJ80LSTGDWVA9R23E	Contoso Motors	SUV	2005	FWD	Hybrid	Blue	Black	Automatic
174	174	2OFBAAU8GA3IORDDJ	Contoso Motors	Minivan	2005	FWD	6 Cylinder	Deep Blue	Brown	Automatic
175	175	9J2KVIVC0M0MX0C7J	Contoso Motors	Minivan	2007	FWD	6 Cylinder	Midnight Black	Silverstone	Automatic
176	176	DW8HNGPJFSUCSJQ45	Contoso Motors	Minivan	2016	FWD	6 Cylinder	White Silver	Smoke White	Automatic
177	177	HM2PUCY2VW99H5LJP	Contoso Motors	Minivan	2011	FWD	6 Cylinder	Racing Green	Beige	Automatic
178	178	ZV6LW5PM03ILMLXQ8	Contoso Motors	Minivan	2005	FWD	6 Cylinder	Blazing Gray	Nutmeg	Automatic
179	566	O49ITMGKTW81HWWV1	Contoso Motors	Sedan	2007	AWD	10 Cylinder	Thunder Gray	Gray	Manual
180	10	M7SFAP1ED7VNVNWXF	Contoso Motors	Wagon	2015	AWD	6 Cylinder	Deep Blue	Nutmeg	Automatic
181	626	KYCXVEM3JY5QN6JCU	Contoso Motors	Sedan	2013	FWD	10 Cylinder	Thunder Gray	Gray	Manual
182	831	6M8D18I4CCYRZH4LO	Contoso Motors	Sedan	2016	FWD	10 Cylinder	Silver	Ivory	Manual
183	262	36NUFUIMP760EPS2D	Contoso Motors	SUV	2009	AWD	Hybrid	Blue	Black	Automatic
184	130	XUE4MP2SHKKTSPQBB	Contoso Motors	Truck	2009	FWD	12 Cylinder	Black	Black	Automatic
185	11	GHLUB6ONKMOSI7E77	Contoso Motors	Truck	2014	FWD	6 Cylinder	Black	Black	Automatic
186	19	JEVBYNRKCFY0AXG4M	Contoso Motors	Hatchback	2016	FWD	6 Cylinder	Deep Blue	Silverstone	Automatic
187	395	DXWRKFLC7Z7DIB5B9	Contoso Motors	Hatchback	2004	FWD	6 Cylinder	Deep Blue	Silverstone	Automatic
188	188	1SZ0YBL52GH4DU6R4	Contoso Motors	Minivan	2015	FWD	6 Cylinder	White Silver	Smoke White	Automatic
189	189	6PQGV44MP0RW7K19T	Contoso Motors	Minivan	2004	FWD	6 Cylinder	Racing Green	Beige	Automatic
190	310	G6X4F0WSMSM8R3RN0	Contoso Motors	SUV	2016	FWD	4 Cylinder	Blue	Black	Automatic
191	403	DSMFG6SQSPZG5TK43	Contoso Motors	Hatchback	2013	AWD	6 Cylinder	Deep Blue	Black	Automatic
192	251	2UM8372QJ1AUJ4V9H	Contoso Motors	Truck	2016	FWD	6 Cylinder	Black	Black	Automatic
193	5	W9FTHG27LZN1YWO0Y	Contoso Motors	Crossover	2004	FWD	Electric	Chili Red	Black	Automatic
194	899	C3TJEP9O4OHLFOYEK	Contoso Motors	Sedan	2004	FWD	10 Cylinder	Chili Red	Black	Manual
195	191	YDBOVMH3U2UZT76UA	Contoso Motors	Hatchback	2007	FWD	6 Cylinder	Pepper White	Black	Automatic
196	196	TSH5CTQ742NK69LT0	Contoso Motors	Minivan	2005	FWD	6 Cylinder	Deep Blue	Brown	Automatic
197	29	8OMCL3LGI7XNCC21U	Contoso Motors	Crossover	2014	FWD	Hybrid	Chili Red	Black	Automatic
198	53	U30I1WB31T9XBKCMY	Contoso Motors	Crossover	2011	FWD	4 Cylinder	Chili Red	Black	Automatic
199	742	550JLST7HPQGU70AN	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
200	200	1SJG95N3TFJLZL4CY	Contoso Motors	Convertible 2DR	2004	AWD	6 Cylinder	Blazing Gray	Nutmeg	Automatic
201	345	M3T7ZNZQJDDLJ7XQ9	Contoso Motors	Coupe	2005	AWD	4 Cylinder	Pepper White	Dark Gray	Manual
202	202	MGQP7XL2GZFICD0QY	Contoso Motors	Hybrid	2013	FWD	Hybrid	Thunder Gray	Gray	Semi-automatic
203	498	K3HRWTZJT22XAPRBY	Contoso Motors	Truck	2010	FWD	6 Cylinder	Black	Black	Automatic
204	387	XI9TFYQUDKQWA44IS	Contoso Motors	Hatchback	2013	AWD	6 Cylinder	Racing Green	Black	Automatic
205	215	JVBSIRUIUUIRT2Z3A	Contoso Motors	Sedan	2013	AWD	10 Cylinder	Pepper White	Dark Gray	Manual
206	523	U3Q20OC4V7OVZQD64	Contoso Motors	Sedan	2013	RWD	12 Cylinder	Silver	Ivory	Automatic
207	574	3RULDLY2XJX5W03EH	Contoso Motors	Sedan	2015	AWD	6 Cylinder	White Silver	Smoke White	Automatic
208	618	ANNL32RN5YYDC1616	Contoso Motors	Wagon	2005	FWD	6 Cylinder	Blue	Black	Automatic
209	259	8KQI9U6PZ45G0G46X	Contoso Motors	Truck	2013	FWD	6 Cylinder	Black	Black	Automatic
210	746	IEYRW40VBV7K32V6L	Contoso Motors	Truck	2015	FWD	6 Cylinder	Black	Black	Automatic
211	489	AAJQER5038Q78UOTV	Contoso Motors	Coupe	2004	AWD	4 Cylinder	Silver	Ivory	Manual
212	212	SZVVERBWRBYG17PTU	Contoso Motors	Hybrid	2013	FWD	Hybrid	Blazing Gray	Nutmeg	Semi-automatic
213	77	PGCWPNBZ6LQ21PF9T	Contoso Motors	Crossover	2014	FWD	8 Cylinder	Chili Red	Black	Automatic
214	790	2F542XPU60LRXCNNQ	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
215	215	LP9A6PXHGPDYCT154	Contoso Motors	Convertible 2DR	2016	FWD	Hybrid	Pepper White	Dark Gray	Automatic
216	123	9IHEP7L28HBMWVEY7	Contoso Motors	Crossover	2013	FWD	4 Cylinder	Chili Red	Black	Automatic
217	135	RQ32V8PDJTE5UQSHQ	Contoso Motors	SUV	2006	AWD	Hybrid	Chili Red	Black	Automatic
218	218	KFMFVCNXDSN30IXN0	Contoso Motors	Minivan	2005	FWD	6 Cylinder	Blue	Old Lace	Automatic
